t,p,v,theta,omega,u,v_command,solve_ms,qp_ms
0.0,0.0018611206189557395,0.019266877673830105,0.007249961412847578,-0.03175312046297332,0.09075433130991127,0.0,193.19389999873238,193.05870000061987
0.2,0.005813117531149612,0.02129613972858882,0.0028751745136349543,-0.01876003817396641,0.02546505903721238,0.0,6.781300000511692,6.635300000198185
0.4,0.009929982576067498,0.02045338319582023,0.0004388603541596994,-0.009370686010369406,0.003819676646859317,0.0,7.872199999837903,7.723700000497047
0.6000000000000001,0.013826816275735747,0.018797994890494572,-0.0007482797562600181,-0.004336540902259885,-0.005552387418072235,0.0,6.9990999982110225,6.859900000563357
0.8,0.017379549971061864,0.01685347556206114,-0.0012689245016950601,-0.001675045770540732,-0.009688301374679286,0.0,6.8990999989182455,6.737300000168034
1.0,0.020549539989151093,0.014887195738666342,-0.0014399280537445054,-0.00029943430155339457,-0.011077680355670522,0.0,6.707000000460539,6.55910000023141
1.2000000000000002,0.023341544168648184,0.013031242825174417,-0.0014332037297838888,0.0003770762189254061,-0.011061627608895333,0.0,6.790800000089803,6.639299999733339
1.4000000000000001,0.025781064805589136,0.01134218708642016,-0.001341868204724411,0.0006775227759074492,-0.010373819920785517,0.0,6.304299999101204,6.135299998277333
1.6,0.027901974525993228,0.009836822099085289,-0.001215672062344884,0.0007795918004697873,-0.009406962193173826,0.0,6.651899999269517,6.45280000026105
1.8,0.02974006675686174,0.008511886090436425,-0.001080558559812825,0.0007804864261114486,-0.00836606355613938,0.0,6.061500000214437,5.927599999267841
2.0,0.03132985293491881,0.007354725157186044,-0.0009494865618107937,0.0007329268624601346,-0.0073537445210572275,0.0,6.056800000806106,5.914800000027753
2.2,0.0327031093174002,0.006348970501155229,-0.0008284067624839404,0.0006651122311073648,-0.006417338769084684,0.0,6.679100000837934,6.529100000989274
2.4000000000000004,0.03388834998764369,0.005477482631212088,-0.0007195514578502901,0.0005917776238982889,-0.0055748220537387375,0.0,6.011400000716094,5.858799999259645
2.6,0.03491077532605751,0.004723807182847024,-0.0006232369080624612,0.0005203113177033418,-0.00482902082517285,0.0,6.491000000096392,6.345100000544335
2.8000000000000003,0.03579245110005532,0.004072829220618013,-0.0005388433464033831,0.00045413280180077106,-0.004175340716511049,0.0,6.526799999846844,6.380800001352327
3.0,0.036552586864985165,0.0035110038858550833,-0.0004653413409817181,0.00039455275604114576,-0.003605919915004554,0.0,6.284400000367896,6.157299998449162
3.2,0.03720784475562539,0.003026370197738943,-0.0004015687804289006,0.0003417924745043937,-0.00311181692321031,0.0,6.484599998657359,6.350400000883383
3.4000000000000004,0.037772643829963856,0.0026084602720305573,-0.00034637153435816627,0.00029553851128488566,-0.0026841235106906444,0.0,6.21569999930216,6.087700001444318
3.6,0.03825944357299275,0.0022481640919233864,-0.00029867025097802906,0.00025524088667851176,-0.00231449507586185,0.0,6.478399998741224,6.35849999889615
